smiles,template,compound_set,hit1,hit2,hit3
c1cc(-c2nc3c(s2)CCCC3)n[nH]1,z0653a,knitwork_green_site_impure,z0496a,z0653a,
c1cnn(-c2nc3c(s2)CCCC3)c1,z0653a,knitwork_green_site_impure,z0496a,z0653a,
CC(C)C(C)(CO)NC(=O)Nc1cccc2[nH]ccc12,z0041a,knitwork_green_site_impure,z0041a,z0211a,
CC(C)C(C)(CO)NC(=O)Nc1cccc2[nH]ccc12,z0211a,knitwork_green_site_impure,z0041a,z0211a,
COc1cccc2cc(CN(C)Cc3ccns3)oc12,z0653a,knitwork_green_site_impure,z0653a,3vws-b,
COc1cccc2cc(CN(C)Cc3ccns3)oc12,3vws-b,knitwork_green_site_impure,z0653a,3vws-b,
COc1cccc2c(CC(=O)N(C)Cc3ccns3)coc12,z0653a,knitwork_green_site_impure,z0653a,3vws-b,
c1cc(-c2ccncc2)cc(-c2cnc3ncnn3c2)c1,z0637a,knitwork_green_site_impure,z0521a,z0637a,
CCOC(=O)c1ccn2ccccc12,3vws-b,knitwork_green_site_impure,z0628a,3vws-b,
c1cc(-c2cnco2)c2[nH]ccc2c1,z0496a,knitwork_green_site_impure,z0107a,z0496a,
CCOC(=O)c1csc2ccccc12,3vws-b,knitwork_green_site_impure,z0628a,3vws-b,
O=C(CCc1csc2ccccc12)NC1CCNC2(CC2)C1,z0384a,knitwork_green_site_impure,z0384a,3vws-b,
CCC(OC(=O)C(C)(C)c1cscn1)C(C)C,z0496a,knitwork_green_site_impure,z0496a,z0628a,
Cn1cnc(CCNC(=O)c2ccn3ccccc23)c1,3vws-b,knitwork_green_site_impure,d0378a,3vws-b,
CCN(OC)C(=O)c1cncs1,z0496a,knitwork_green_site_impure,z0496a,z0628a,
N#Cc1cnc(-c2cc[nH]n2)n1-c1cc[nH]n1,d0378a,knitwork_green_site_impure,d0378a,z0936a,
O=C(Cc1cscn1)OC(C(F)(F)F)C(F)(F)F,z0496a,knitwork_green_site_impure,z0496a,z0628a,
O=C(CCl)C(=O)c1coc2ccccc12,3vws-b,knitwork_green_site_impure,z0628a,3vws-b,
N#Cc1cnc(-c2cn[nH]c2)n1-c1cc[nH]n1,d0378a,knitwork_green_site_impure,d0378a,z0936a,
CCC(=O)OC(C)c1coc2ccccc12,3vws-b,knitwork_green_site_impure,z0628a,3vws-b,
CC(NC(=O)CN1C(=O)CCOc2ccccc21)c1cc2ccccc2o1,z0922a,knitwork_green_site_impure,z0922a,3vws-b,
C=C(COCC)C(=O)c1cscn1,z0496a,knitwork_green_site_impure,z0496a,z0628a,
C=C(COCC)C(=O)c1cscn1,z0628a,knitwork_green_site_impure,z0496a,z0628a,
c1ccc(-c2cc3ccccc3o2)nc1,z0386a,knitwork_green_site_impure,z0041a,z0386a,
CC(CC(F)F)C(=O)OC(C)c1coc2ccccc12,3vws-b,knitwork_green_site_impure,z0628a,3vws-b,
O=C1C=C(c2cncs2)CCC1,z0496a,knitwork_green_site_impure,z0496a,z1018a,
CCNCCc1ccon1,z0496a,knitwork_green_site_impure,z0496a,z0521a,
