compound_id,smiles,amount
77341,Cc1cc(C)c2c(N)ccc(Cl)c2n1,1.0
77342,Cn1c(=O)ccc2c(N)ccc(Cl)c21,1.0
77325,O=C(O)c1ccnc(Cl)c1F,1.0
77343,CCNc1ccc(Cl)c2ncccc12,1.0
77344,Cc1cc(O)c2c(N)ccc(Cl)c2n1,1.0
77345,Nc1cc(Cl)c2ncccc2c1[N+](=O)[O-],1.0
77346,C=CCNc1ccc(Cl)c2ncccc12,1.0
77347,CC(C)Nc1ccc(Cl)c2ncccc12,1.0
77348,CCn1c(=O)ccc2c(N)ccc(Cl)c21,1.0
77349,Nc1c(C(=O)O)cc(Cl)c2ncccc12,1.0
77350,OCCNc1ccc(Cl)c2ncccc12,1.0
77351,C#CCNc1ccc(Cl)c2ncccc12,1.0
77352,CCCNc1ccc(Cl)c2ncccc12,1.0
77353,Cc1cc(C)c2c(N)c(Cl)cc(Cl)c2n1,1.0
77354,Clc1ccc(NC2CC2)c2cccnc12,1.0
77355,CC(O)CNc1ccc(Cl)c2ncccc12,1.0
77356,C=C(C)CNc1ccc(Cl)c2ncccc12,1.0
77357,CCCCNc1ccc(Cl)c2ncccc12,1.0
77358,NCC(=O)Nc1ccc(Cl)c2ncccc12,1.0
77359,CSCCNc1ccc(Cl)c2ncccc12,1.0
77360,Nc1ccc(Cl)c2ncc(C(=O)O)c(O)c12,1.0
77361,C#CCCNc1ccc(Cl)c2ncccc12,1.0
77362,FC(F)CNc1ccc(Cl)c2ncccc12,1.0
77363,Clc1ccc(NCC(Br)Br)c2cccnc12,1.0
77364,Clc1ccc(NC2CSC2)c2cccnc12,1.0
77365,Clc1ccc(NCC(Cl)Cl)c2cccnc12,1.0
77366,Clc1ccc(NC2CCC2)c2cccnc12,1.0
77367,Clc1ccc(NCC2CC2)c2cccnc12,1.0
77368,Clc1ccc(NC2COC2)c2cccnc12,1.0
77369,FCCCNc1ccc(Cl)c2ncccc12,1.0
77370,OCCCNc1ccc(Cl)c2ncccc12,1.0
77371,CC(CO)Nc1ccc(Cl)c2ncccc12,1.0
77372,O=C(O)CNc1ccc(Cl)c2ncccc12,1.0
77373,CCC(C)Nc1ccc(Cl)c2ncccc12,1.0
77374,COCCNc1ccc(Cl)c2ncccc12,1.0
77375,CC(C)CNc1ccc(Cl)c2ncccc12,1.0
77376,C=CCCNc1ccc(Cl)c2ncccc12,1.0
77377,COCC(C)Nc1ccc(Cl)c2ncccc12,1.0
77378,FC(F)(Br)CNc1ccc(Cl)c2ncccc12,1.0
77379,CC(Nc1ccc(Cl)c2ncccc12)C1CC1,1.0
77380,Clc1ccc(NC2CCCC2)c2cccnc12,1.0
77381,Clc1ccc(NC2CCOC2)c2cccnc12,1.0
77382,Clc1ccc(NC2CCSC2)c2cccnc12,1.0
77383,CC1CC(Nc2ccc(Cl)c3ncccc23)C1,1.0
77384,CCC(CO)Nc1ccc(Cl)c2ncccc12,1.0
77385,OCC=CCNc1ccc(Cl)c2ncccc12,1.0
77386,CC(CO)CNc1ccc(Cl)c2ncccc12,1.0
77387,C=C=CCCNc1ccc(Cl)c2ncccc12,1.0
77388,CCOCCNc1ccc(Cl)c2ncccc12,1.0
77389,C=CCC(C)Nc1ccc(Cl)c2ncccc12,1.0
77390,FCC(CF)Nc1ccc(Cl)c2ncccc12,1.0
77391,FC(F)(F)CNc1ccc(Cl)c2ncccc12,1.0
77392,FC(F)CCNc1ccc(Cl)c2ncccc12,1.0
77393,CC(C)(O)CNc1ccc(Cl)c2ncccc12,1.0
77394,CCCC(C)Nc1ccc(Cl)c2ncccc12,1.0
