smiles,hit0,hit1
[H]c1c([H])c(C([H])([H])C([H])([H])[H])c([H])c(C(=O)N2C([H])([H])C([H])([H])N([H])[C@]([H])(C([H])([H])[H])C2([H])[H])c1F,z0186a,z0892b
[H]c1c([H])c(C([H])([H])[H])c([H])c(C(=O)N2C([H])([H])C([H])([H])N([H])[C@]([H])(C([H])([H])[H])C2([H])[H])c1F,z0186a,z0898a
[H]N1C(=O)N([H])[C@@]2(C1=O)C([H])([H])[C@]([H])(C([H])([H])[H])C([H])([H])[C@]([H])(C(=O)N1C([H])([H])C([H])([H])N([H])[C@]([H])(C([H])([H])[H])C1([H])[H])[C@@]2(F)C([H])([H])C([H])([H])[H],z0186a,z0903c
[H]c1c(C(=O)N2C([H])([H])C([H])([H])N([H])[C@]([H])(C([H])([H])[H])C2([H])[H])c(F)c(C([H])([H])[H])c(OC([H])([H])F)c1C([H])([H])[H],z0186a,z0927a
[H]c1c(F)c(C(=O)N2C([H])([H])C([H])([H])N([H])[C@]([H])(C([H])([H])[H])C2([H])[H])c([H])c2c1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H],z0186a,z0968a
[H]c1c([H])c([H])c2c(N([H])S(=O)(=O)C([H])([H])[H])c(F)c(C(=O)N3C([H])([H])C([H])([H])N([H])[C@]([H])(C([H])([H])[H])C3([H])[H])c([H])c2c1[H],z0186a,z0991b
[H]OC([H])([H])[C@@H]1[C@@H](C([H])([H])[H])[C@H](N([H])C(=O)C([H])([H])[H])N2C([H])C(Cl)C([H])N[C@@H]2[C@H]1C([H])([H])[H],z0207a,z0136b
[H]O[C@]1([H])C([H])([H])C([H])([H])[C@@]23C([H])([H])[C@@]([H])(C([H])([H])N([H])[H])C([H])([H])N([H])[C@]2(N([H])C([H])([H])[H])C([H])([H])[C@]([H])(C1([H])[H])C3([H])[H],z0207a,z0184a
[H]c1nc(N(C([H])([H])[H])[C@@]([H])(N2C([H])([H])[C@@]([H])(C([H])([H])[H])N([H])C([H])([H])[C@]2([H])N=O)C([H])([H])[H])nc([H])c1Cl,z0207a,z0186a
[H]O[C@]([H])(N1C([H])([H])C(=O)N([H])C([H])([H])C1([H])[H])[C@]([H])(N(c1nc([H])c(Cl)c([H])n1)C([H])([H])[H])C([H])([H])[H],z0207a,z0397a
