smiles,hit0,hit1
[H]C1([H])O[C@@]2([H])[C@]([H])(C1([H])[H])[C@]1([H])C([H])([H])C([H])([H])C([H])([H])[C@]1([H])[C@]1([H])C([H])([H])C([H])([H])C([H])([H])[C@]21[H],d0378a,z0991a
[H]N([H])[C@]([H])(C([H])([H])[H])[C@]1([H])N([H])[C@]([H])(C([H])([H])C#N)[C@]2(C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C([H])(F)F)C2([H])[H])C1([H])[H],d0378a,z0995a
[H]c1c([H])c([H])c2c(c1[H])C([H])([H])[C@]([H])(N([H])C([H])(F)F)[C@]([H])(C([H])([H])[H])[C@@]21C([H])([H])C([H])([H])N([H])[C@]1([H])C([H])([H])C#N,d0378a,z1040a
[H]c1nc(C([H])([H])C#N)n([C@](C(=S)N([H])[H])(c2c([H])c([H])c([H])c([H])c2OC([H])([H])[H])C([H])(F)F)c1[H],d0378a,z1041a
[H]c1c([H])c(S(=O)(=O)N([H])c2c([H])c([H])c3oc(C([H])([H])[H])c(C(=O)OC([H])([H])N([H])c4nc(C([H])([H])C#N)n(C([H])([H])C(F)(F)F)c4[H])c3c2[H])c([H])c([H])c1Cl,d0378a,3vws-b
[H]OC(=O)c1c(C([H])([H])[H])oc2c([H])c([H])c(N([H])S(=O)(=O)c3c([H])nc(C([H])([H])C#N)n3C([H])([H])C(F)(F)F)c([H])c12,d0378a,3vws-a
[H]OC(=O)[C@@]([H])(N([H])C(=O)c1c([H])c(-c2c([H])c([H])c([H])c([H])c2[H])c(=O)n2c1sc1c(N([H])[C@]([H])(n3c(C([H])([H])C#N)nc([H])c3[H])C(F)(F)F)c([H])c(OC3([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c([H])c12)C([H])([H])c1c([H])c([H])c(O[H])c([H])c1[H],d0378a,5iq6-a
[H]OC(=O)C1(N([H])/C(=N/[C@]2([H])C([H])([H])[C@]3([C@@]4([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@]42[H])[C@@]([H])(Cl)C([H])([H])C([H])([H])C([H])([H])[C@@]3([H])Cl)C([H])([H])[H])C([H])([H])c2c([H])c([H])c([H])c([H])c2C1([H])[H],d0378a,6xd0-a
[H]c1c2c3c(c([H])c1S(=O)(=O)N([H])[H])C([H])([H])C([H])([H])[C@@]3([H])C([H])([H])C([H])([H])N2C(=O)C([H])([H])[H],z0165a,z0904a
[H]c1nnc(-c2c([H])c([H])c(N([H])c3c([H])c(S(=O)(=O)N([H])[H])c([H])c4c3C([H])([H])C([H])([H])C([H])([H])N4C([H])([H])[H])c([H])c2OC([H])([H])[H])o1,z0165a,d0411b
[H]c1nnc(-c2c(OC([H])([H])[H])c([H])c([H])c([H])c2C([H])([H])C([H])([H])N=[S@@](=O)(c2c([H])c([H])c3c(c2[H])N(C([H])([H])[H])C([H])([H])C([H])([H])C3([H])[H])N([H])[H])o1,z0165a,d0411a
[H]c1c([H])c([H])n([C@]2([H])[C@]3(C([H])([H])C4=C(C([H])([H])C([H])([H])C([H])([H])N4C([H])([H])[H])C([H])([H])C3([H])[H])[C@@]([H])(OC([H])([H])N([H])[H])C([H])([H])C([H])([H])[C@]2([H])N([H])[H])c1[H],z0165a,d0472b
[H]c1c(C(=S)N([H])[H])c(S(=O)(=O)N([H])[H])c([H])c2c1[C@@]([H])(OC(F)(F)F)C([H])([H])C([H])([H])N2C([H])([H])[H],z0165a,d0741a
[H]c1c(C([H])([H])[H])c2c(c(C(=O)N([H])C([H])([H])[H])c1S(=O)(=O)N([H])[H])N(C([H])([H])[H])C([H])([H])C([H])([H])C2([H])[H],z0165a,z0041a
