target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1
C133445,1,,,,NC1CC1O,CC1(C)CC(O)c2cccc(N)c2O1,CC1(C)CC(O)c2cccc(NC(=O)NC3CC3O)c2O1,Formation_of_urea_from_two_amines,,
C133446,1,,,,CC(O)CN,CC1(C)CC(O)c2cccc(N)c2O1,CC(O)CNC(=O)Nc1cccc2c1OC(C)(C)CC2O,Formation_of_urea_from_two_amines,,
C133452,1,,,,OC1CNC1,CC1(C)CC(O)c2cccc(N)c2O1,CC1(C)CC(O)c2cccc(NC(=O)N3CC(O)C3)c2O1,Formation_of_urea_from_two_amines,,
C133453,1,,,,CC1(C)CCc2cccc(N)c2O1,NCC(O)CF,CC1(C)CCc2cccc(NC(=O)NCC(O)CF)c2O1,Formation_of_urea_from_two_amines,,
C133455,1,,,,CC1(C)CCc2cccc(N)c2O1,CNCC(C)O,CC(O)CN(C)C(=O)Nc1cccc2c1OC(C)(C)CC2,Formation_of_urea_from_two_amines,,
C133456,1,,,,CC1(C)CCc2cccc(N)c2O1,NCC(O)CO,CC1(C)CCc2cccc(NC(=O)NCC(O)CO)c2O1,Formation_of_urea_from_two_amines,,
C133457,1,,,,CC1(C)CCc2cccc(N)c2O1,CCC(O)CN,CCC(O)CNC(=O)Nc1cccc2c1OC(C)(C)CC2,Formation_of_urea_from_two_amines,,
C133458,1,,,,CC1(C)CCc2cccc(N)c2O1,CC(O)C(N)=S,CC(O)C(=S)NC(=O)Nc1cccc2c1OC(C)(C)CC2,Formation_of_urea_from_two_amines,,
C133464,1,,,,CC1(C)CCc2cccc(N)c2O1,NC1CCC1O,CC1(C)CCc2cccc(NC(=O)NC3CCC3O)c2O1,Formation_of_urea_from_two_amines,,
C133467,1,,,,CC1(C)CCc2cccc(N)c2O1,OC1CCNC1,CC1(C)CCc2cccc(NC(=O)N3CCC(O)C3)c2O1,Formation_of_urea_from_two_amines,,
C133469,1,,,,CC1(C)CCc2cccc(N)c2O1,CC1CNCO1,CC1CN(C(=O)Nc2cccc3c2OC(C)(C)CC3)CO1,Formation_of_urea_from_two_amines,,
C133472,1,,,,CC1(C)CCc2cccc(N)c2O1,COC1CNC1,COC1CN(C(=O)Nc2cccc3c2OC(C)(C)CC3)C1,Formation_of_urea_from_two_amines,,
C133473,1,,,,CC1(C)CCc2cccc(N)c2O1,COC1CC1N,COC1CC1NC(=O)Nc1cccc2c1OC(C)(C)CC2,Formation_of_urea_from_two_amines,,
C133474,1,,,,CC1(C)CCc2cccc(N)c2O1,COC(C)CN,COC(C)CNC(=O)Nc1cccc2c1OC(C)(C)CC2,Formation_of_urea_from_two_amines,,
C133479,1,,,,CC1(C)CCc2cccc(N)c2O1,CC(O)C(=N)N,CC(O)C(=N)NC(=O)Nc1cccc2c1OC(C)(C)CC2,Formation_of_urea_from_two_amines,,
C133482,1,,,,CC1(C)CCc2cccc(N)c2O1,CC1(O)CNC1,CC1(O)CN(C(=O)Nc2cccc3c2OC(C)(C)CC3)C1,Formation_of_urea_from_two_amines,,
C133484,1,,,,CC1(C)CCc2cccc(N)c2O1,CC1NCC1O,CC1C(O)CN1C(=O)Nc1cccc2c1OC(C)(C)CC2,Formation_of_urea_from_two_amines,,
C133485,1,,,,CC1(C)CCc2cccc(N)c2O1,OC1CNOC1,CC1(C)CCc2cccc(NC(=O)N3CC(O)CO3)c2O1,Formation_of_urea_from_two_amines,,
C133488,1,,,,CC1(C)CCc2cccc(N)c2O1,NCC(O)CCl,CC1(C)CCc2cccc(NC(=O)NCC(O)CCl)c2O1,Formation_of_urea_from_two_amines,,
C133639,1,,,,CC(O)C(=N)N,CC1(C)CC(O)c2cccc(N)c2O1,CC(O)C(=N)NC(=O)Nc1cccc2c1OC(C)(C)CC2O,Formation_of_urea_from_two_amines,,
C133640,1,,,,CNCC(C)O,CC1(C)CC(O)c2cccc(N)c2O1,CC(O)CN(C)C(=O)Nc1cccc2c1OC(C)(C)CC2O,Formation_of_urea_from_two_amines,,
C133641,1,,,,NCC(O)CO,CC1(C)CC(O)c2cccc(N)c2O1,CC1(C)CC(O)c2cccc(NC(=O)NCC(O)CO)c2O1,Formation_of_urea_from_two_amines,,
C133666,1,,,,CCC(O)CN,CC1(C)CC(O)c2cccc(N)c2O1,CCC(O)CNC(=O)Nc1cccc2c1OC(C)(C)CC2O,Formation_of_urea_from_two_amines,,
C133667,1,,,,CC(O)C(N)=S,CC1(C)CC(O)c2cccc(N)c2O1,CC(O)C(=S)NC(=O)Nc1cccc2c1OC(C)(C)CC2O,Formation_of_urea_from_two_amines,,
C133670,1,,,,NC1CCC1O,CC1(C)CC(O)c2cccc(N)c2O1,CC1(C)CC(O)c2cccc(NC(=O)NC3CCC3O)c2O1,Formation_of_urea_from_two_amines,,
C133685,1,,,,OC1CCNC1,CC1(C)CC(O)c2cccc(N)c2O1,CC1(C)CC(O)c2cccc(NC(=O)N3CCC(O)C3)c2O1,Formation_of_urea_from_two_amines,,
C133686,1,,,,CC1CNCO1,CC1(C)CC(O)c2cccc(N)c2O1,CC1CN(C(=O)Nc2cccc3c2OC(C)(C)CC3O)CO1,Formation_of_urea_from_two_amines,,
C133687,1,,,,COC(C)CN,CC1(C)CC(O)c2cccc(N)c2O1,COC(C)CNC(=O)Nc1cccc2c1OC(C)(C)CC2O,Formation_of_urea_from_two_amines,,
C133690,1,,,,NCC(O)CF,CC1(C)CC(O)c2cccc(N)c2O1,CC1(C)CC(O)c2cccc(NC(=O)NCC(O)CF)c2O1,Formation_of_urea_from_two_amines,,
C133695,1,,,,NCC(O)CCl,CC1(C)CC(O)c2cccc(N)c2O1,CC1(C)CC(O)c2cccc(NC(=O)NCC(O)CCl)c2O1,Formation_of_urea_from_two_amines,,
C133700,1,,,,CC1NCC1O,CC1(C)CC(O)c2cccc(N)c2O1,CC1C(O)CN1C(=O)Nc1cccc2c1OC(C)(C)CC2O,Formation_of_urea_from_two_amines,,
C133702,1,,,,CC1(O)CNC1,CC1(C)CC(O)c2cccc(N)c2O1,CC1(O)CN(C(=O)Nc2cccc3c2OC(C)(C)CC3O)C1,Formation_of_urea_from_two_amines,,
C133704,1,,,,OC1CNOC1,CC1(C)CC(O)c2cccc(N)c2O1,CC1(C)CC(O)c2cccc(NC(=O)N3CC(O)CO3)c2O1,Formation_of_urea_from_two_amines,,
C133708,1,,,,COC1CNC1,CC1(C)CC(O)c2cccc(N)c2O1,COC1CN(C(=O)Nc2cccc3c2OC(C)(C)CC3O)C1,Formation_of_urea_from_two_amines,,
C133709,1,,,,COC1CC1N,CC1(C)CC(O)c2cccc(N)c2O1,COC1CC1NC(=O)Nc1cccc2c1OC(C)(C)CC2O,Formation_of_urea_from_two_amines,,
C133714,1,,,,CC1(C)CCc2cccc(N)c2O1,CCCC(O)CN,CCCC(O)CNC(=O)Nc1cccc2c1OC(C)(C)CC2,Formation_of_urea_from_two_amines,,
C133716,1,,,,CC1(C)CCc2cccc(N)c2O1,CCC(N)C(C)O,CCC(NC(=O)Nc1cccc2c1OC(C)(C)CC2)C(C)O,Formation_of_urea_from_two_amines,,
C133717,1,,,,CC1(C)CCc2cccc(N)c2O1,CCC(O)C(=N)N,CCC(O)C(=N)NC(=O)Nc1cccc2c1OC(C)(C)CC2,Formation_of_urea_from_two_amines,,
C133720,1,,,,CC1(C)CCc2cccc(N)c2O1,C=CC(C)(O)CN,C=CC(C)(O)CNC(=O)Nc1cccc2c1OC(C)(C)CC2,Formation_of_urea_from_two_amines,,
C133721,1,,,,CC1(C)CCc2cccc(N)c2O1,CC(O)CN(C)N,CC(O)CN(C)NC(=O)Nc1cccc2c1OC(C)(C)CC2,Formation_of_urea_from_two_amines,,
C133722,1,,,,CC1(C)CCc2cccc(N)c2O1,CC(N)C(O)CO,CC(NC(=O)Nc1cccc2c1OC(C)(C)CC2)C(O)CO,Formation_of_urea_from_two_amines,,
C133725,1,,,,CC1(C)CCc2cccc(N)c2O1,COC(C)C(N)=S,COC(C)C(=S)NC(=O)Nc1cccc2c1OC(C)(C)CC2,Formation_of_urea_from_two_amines,,
C133727,1,,,,CC1(C)CCc2cccc(N)c2O1,CC(C)(O)C(=N)N,CC1(C)CCc2cccc(NC(=O)NC(=N)C(C)(C)O)c2O1,Formation_of_urea_from_two_amines,,
C133728,1,,,,CC1(C)CCc2cccc(N)c2O1,CCC(C)(O)CN,CCC(C)(O)CNC(=O)Nc1cccc2c1OC(C)(C)CC2,Formation_of_urea_from_two_amines,,
C133731,1,,,,CC1(C)CCc2cccc(N)c2O1,CSCC(O)CN,CSCC(O)CNC(=O)Nc1cccc2c1OC(C)(C)CC2,Formation_of_urea_from_two_amines,,
C133739,1,,,,CC1(C)CCc2cccc(N)c2O1,COCC(O)CN,COCC(O)CNC(=O)Nc1cccc2c1OC(C)(C)CC2,Formation_of_urea_from_two_amines,,
C133746,1,,,,CC1(C)CCc2cccc(N)c2O1,NCC(O)C(=O)O,CC1(C)CCc2cccc(NC(=O)NCC(O)C(=O)O)c2O1,Formation_of_urea_from_two_amines,,
C133747,1,,,,CC1(C)CCc2cccc(N)c2O1,CC(O)C(=O)NN,CC(O)C(=O)NNC(=O)Nc1cccc2c1OC(C)(C)CC2,Formation_of_urea_from_two_amines,,
C133754,1,,,,CC1(C)CCc2cccc(N)c2O1,CNCC(C)(C)O,CN(CC(C)(C)O)C(=O)Nc1cccc2c1OC(C)(C)CC2,Formation_of_urea_from_two_amines,,
