smiles,template,compound_set,hit1,hit2
CNS(=O)(=O)c1cccc(CCCN=S(=O)(NC)c2ccccc2Cl)c1F,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0567a/d0567a.pdb,fstein_thumb_site_2,d0153a,d0567a
CNC1(c2ccccc2Cl)C(O)CC(CN(C)c2ncncc2Cl)C1O,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0153a/d0153a.pdb,fstein_thumb_site_2,d0153a,d0587a
CNC1(c2ccccc2Cl)C(O)CC(CN(C)c2ncncc2Cl)C1O,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0587a/d0587a.pdb,fstein_thumb_site_2,d0153a,d0587a
O=S(=O)(NCNCN=C(CCC1CCCCC1)N1CCOCC1)c1ccccc1Cl,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0153a/d0153a.pdb,fstein_thumb_site_2,d0153a,d0771a
O=S(=O)(NCNCN=C(CCC1CCCCC1)N1CCOCC1)c1ccccc1Cl,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0771a/d0771a.pdb,fstein_thumb_site_2,d0153a,d0771a
CNS(=O)(=NCc1ccc(C)nc1)c1ccccc1Cl,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0153a/d0153a.pdb,fstein_thumb_site_2,d0153a,d1212a
CNS(=O)(=NCc1ccc(C)nc1)c1ccccc1Cl,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d1212a/d1212a.pdb,fstein_thumb_site_2,d0153a,d1212a
O=C(O)Cc1cc(CC(=O)O)cc(-c2ccc(CCNCNS(=O)(=O)c3ccccc3Cl)s2)c1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0153a/d0153a.pdb,fstein_thumb_site_2,d0153a,5hmx-a
CNS(=O)(=O)c1ccc(Nc2ccc(-c3csc(N)n3)cc2)cc1O,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0153b/d0153b_hippo.pdb,fstein_thumb_site_2,d0153b,d0162a
CNS(=O)(=O)c1ccc(Nc2ccc(-c3csc(N)n3)cc2)cc1O,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0162a/d0162a.pdb,fstein_thumb_site_2,d0153b,d0162a
CCS(=O)(=O)NCc1ccc2oc3ccc(-c4csc(N)n4)cc3c2c1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0162a/d0162a.pdb,fstein_thumb_site_2,d0162a,d0174a
CCS(=O)(=O)NCc1ccc2oc3ccc(-c4csc(N)n4)cc3c2c1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0174a/d0174a.pdb,fstein_thumb_site_2,d0162a,d0174a
CC(C)(CO)NC(=O)c1cccc(Nc2ccc(-c3csc(N)n3)cc2)c1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0162a/d0162a.pdb,fstein_thumb_site_2,d0162a,d0248a
CC(C)(CO)NC(=O)c1cccc(Nc2ccc(-c3csc(N)n3)cc2)c1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0248a/d0248a.pdb,fstein_thumb_site_2,d0162a,d0248a
Nc1nc(-c2ccc(Nc3ccccc3)cc2)cs1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0162a/d0162a.pdb,fstein_thumb_site_2,d0162a,d0249a
Nc1nc(-c2ccc(Nc3ccccc3)cc2)cs1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0249a/d0249a_hippo.pdb,fstein_thumb_site_2,d0162a,d0249a
CNS(=O)(=O)CC1CCC(Nc2ccc(-c3csc(N)n3)cc2)CC1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0162a/d0162a.pdb,fstein_thumb_site_2,d0162a,d0283a
CNS(=O)(=O)CC1CCC(Nc2ccc(-c3csc(N)n3)cc2)CC1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0283a/d0283a.pdb,fstein_thumb_site_2,d0162a,d0283a
Nc1nc(-c2ccc(NC(=O)CNOc3cn[nH]c3)cc2)cs1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0162a/d0162a.pdb,fstein_thumb_site_2,d0162a,d0414a
COc1cc([N+]([O-])(O)N2CCCC2O)ccc1-c1csc(N)n1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0162a/d0162a.pdb,fstein_thumb_site_2,d0162a,d0503a
COc1cc([N+]([O-])(O)N2CCCC2O)ccc1-c1csc(N)n1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0503a/d0503a.pdb,fstein_thumb_site_2,d0162a,d0503a
CNS(=O)(=O)c1cccc(O)c1Nc1ccc(-c2csc(N)n2)cc1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0162a/d0162a.pdb,fstein_thumb_site_2,d0162a,d0567a
CNS(=O)(=O)c1cccc(O)c1Nc1ccc(-c2csc(N)n2)cc1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0567a/d0567a.pdb,fstein_thumb_site_2,d0162a,d0567a
CC(C)(c1ccc(-c2csc(N)n2)cc1)c1ccncn1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0162a/d0162a.pdb,fstein_thumb_site_2,d0162a,d0587a
CC(C)(c1ccc(-c2csc(N)n2)cc1)c1ccncn1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0587a/d0587a.pdb,fstein_thumb_site_2,d0162a,d0587a
CC(O)(Nc1ccc2c(c1)Cc1c-2csc1N)c1cncc(F)c1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0162a/d0162a.pdb,fstein_thumb_site_2,d0162a,d0615a
CC(O)(Nc1ccc2c(c1)Cc1c-2csc1N)c1cncc(F)c1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0615a/d0615a_hippo.pdb,fstein_thumb_site_2,d0162a,d0615a
Nc1nc(-c2ccc(N(CC(=O)N3CCOCC3)C3CCCCC3)cc2)cs1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0162a/d0162a.pdb,fstein_thumb_site_2,d0162a,d0771a
Nc1nc(-c2ccc(N(CC(=O)N3CCOCC3)C3CCCCC3)cc2)cs1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0771a/d0771a.pdb,fstein_thumb_site_2,d0162a,d0771a
CC(N)c1ccc(CC(=O)C(C)c2ccc(-c3csc(N)n3)cc2)cc1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0162a/d0162a.pdb,fstein_thumb_site_2,d0162a,d0843a
CC(N)c1ccc(CC(=O)C(C)c2ccc(-c3csc(N)n3)cc2)cc1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0843a/d0843a.pdb,fstein_thumb_site_2,d0162a,d0843a
Nc1nc(-c2ccc(N(N)c3ccccc3)cc2)cs1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0162a/d0162a.pdb,fstein_thumb_site_2,d0162a,d1149a
Nc1nc(-c2ccc(N(N)c3ccccc3)cc2)cs1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d1149a/d1149a.pdb,fstein_thumb_site_2,d0162a,d1149a
Cc1ccc(Nc2ccc(-c3csc(N)n3)cc2)cn1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d1212a/d1212a.pdb,fstein_thumb_site_2,d0162a,d1212a
Nc1nc(-c2ccc(NC(=O)c3csc(-c4cc(CC(=O)O)cc(CC(=O)O)c4)c3)cc2)cs1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0162a/d0162a.pdb,fstein_thumb_site_2,d0162a,5hmx-a
CCS(=O)(=O)NCc1ccc2c(c1)OC(Oc1ccc(S(=O)(=O)N3CCNCC3)cc1)O2,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0174a/d0174a.pdb,fstein_thumb_site_2,d0174a,d0210a
O=C(NS(=O)(=O)CCCCO)c1ccc2c(c1)OCO2,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0174a/d0174a.pdb,fstein_thumb_site_2,d0174a,d0248a
O=C(NS(=O)(=O)CCCCO)c1ccc2c(c1)OCO2,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0248a/d0248a.pdb,fstein_thumb_site_2,d0174a,d0248a
CCS(=O)(=O)NCc1cc(CN2CCCS2(=O)=O)c2c(c1F)OCO2,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0174a/d0174a.pdb,fstein_thumb_site_2,d0174a,d0258a
CCS(=O)(=O)NCc1cc(CN2CCCS2(=O)=O)c2c(c1F)OCO2,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0258a/d0258a.pdb,fstein_thumb_site_2,d0174a,d0258a
CCS(=O)(=O)NCc1ccc2c(c1)OC1(CCOCC1)O2,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0174a/d0174a.pdb,fstein_thumb_site_2,d0174a,d0279a
CCS(=O)(=O)NCc1ccc2c(c1)OC1(CCOCC1)O2,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0279a/d0279a.pdb,fstein_thumb_site_2,d0174a,d0279a
CCS(=O)(=O)NCc1ccc2c(c1)N(C)C(Cc1cc(C)no1)C2=O,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0174a/d0174a.pdb,fstein_thumb_site_2,d0174a,d0379a
CCS(=O)(=O)NCc1ccc2c(c1)N(C)C(Cc1cc(C)no1)C2=O,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0379a/d0379a.pdb,fstein_thumb_site_2,d0174a,d0379a
CCc1c(NCc2ccc3c(c2)OCO3)n[nH]c1O,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0174a/d0174a.pdb,fstein_thumb_site_2,d0174a,d0414a
CCS(=O)(=O)NC(O)c1ccc2c(c1)OC1(CCNCC1)N2O,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0174a/d0174a.pdb,fstein_thumb_site_2,d0174a,d0615a
CCS(=O)(=O)NC(O)c1ccc2c(c1)OC1(CCNCC1)N2O,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0615a/d0615a_hippo.pdb,fstein_thumb_site_2,d0174a,d0615a
