smiles,template,compound_set,hit1,hit2
COc1ccc(Nc2cn(CC(F)(F)F)c(CC#N)n2)cc1-c1nnco1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0411a/d0411a.pdb,fstein_green_site_rna_tunnel,d0378a,d0411a
CNC(=O)c1c(S(N)(=O)=O)cc(C)c2c1N(C)CCC2,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/z0165a/z0165a.pdb,fstein_green_site_rna_tunnel,z0165a,d0472b
CCC(=O)NC1(C)CCCc2ccc(S(N)(=O)=O)cc21,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/z0165a/z0165a.pdb,fstein_green_site_rna_tunnel,z0165a,z0111a
CC(N)C1CC2(CCCc3ccc(S(N)(=O)=O)cc32)NN1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/z0165a/z0165a.pdb,fstein_green_site_rna_tunnel,z0165a,z0628a
CC(N)C1CC2(CCCc3ccc(S(N)(=O)=O)cc32)NN1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/z0628a/z0628a.pdb,fstein_green_site_rna_tunnel,z0165a,z0628a
CC(=NNCC(C)O)c1cc(Br)c2c(c1)CCCN2,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/z0904a/z0904a.pdb,fstein_green_site_rna_tunnel,z0904a,z0211a
CC(=NNCC(C)O)c1cc(Br)c2c(c1)CCCN2,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/z0211a/z0211a.pdb,fstein_green_site_rna_tunnel,z0904a,z0211a
CCOC1(NO)CCC(NS(C)(=O)=O)C1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0172a/d0172a.pdb,fstein_green_site_rna_tunnel,d0172a,z0351a
CC1C(=O)NC(=O)C12CC(Cl)CC2NS(C)(=O)=O,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0172a/d0172a.pdb,fstein_green_site_rna_tunnel,d0172a,z0480a
CS(=O)(=O)NC1C(=O)C2CCc3cccc1c32,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/d0172a/d0172a.pdb,fstein_green_site_rna_tunnel,d0172a,z0483a
COc1ccc(CCC2(Cc3ccc(-c4nnco4)c(OC)c3)NC(=O)NC2=O)cc1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/z0215a/z0215a.pdb,fstein_green_site_rna_tunnel,d0411a,z0215a
O=C1NC(=O)C2(CCc3cccc(Nc4cc(OC5CCCCC5)cc5c4sc4c(C(=O)NC(Cc6ccc(O)cc6)C(=O)O)cc(-c6ccccc6)c(=O)n45)c32)N1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/5iq6-a/5iq6-a.pdb,fstein_green_site_rna_tunnel,z0107a,5iq6-a
CCOn1c(O)cc2c(OC)cccc21,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/z0221a/z0221a.pdb,fstein_green_site_rna_tunnel,z0107a,z0221a
COc1cc(CC2CCNC2)cc2[nH]ccc12,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/z0107a/z0107a.pdb,fstein_green_site_rna_tunnel,z0107a,z0309a
COc1cc(CC2CCNC2)cc2[nH]ccc12,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/z0309a/z0309a.pdb,fstein_green_site_rna_tunnel,z0107a,z0309a
CCCCc1cccc(NC(C)C)c1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/z0107a/z0107a.pdb,fstein_green_site_rna_tunnel,z0107a,z0483a
COc1ccc(N[N+](C)([O-])c2nccc3ccccc23)cc1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/z0111a/z0111a.pdb,fstein_green_site_rna_tunnel,d0411a,z0111a
CC(O)CN1C(=O)c2ccc(Br)c3ccnc1c23,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/z0111a/z0111a.pdb,fstein_green_site_rna_tunnel,d0472b,z0111a
CN(c1nccc2cc(F)ccc12)S(N)(=O)=O,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/z0200a/z0200a.pdb,fstein_green_site_rna_tunnel,z0111a,z0200a
CC(N)NC(N)Cc1nccc2ccccc12,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/z0111a/z0111a.pdb,fstein_green_site_rna_tunnel,z0111a,z0483a
CC(N)NC(N)Cc1nccc2ccccc12,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/z0483a/z0483a.pdb,fstein_green_site_rna_tunnel,z0111a,z0483a
CNC(C(C)=O)C1CCCc2sc(C)nc21,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/z0200a/z0200a.pdb,fstein_green_site_rna_tunnel,z0107a,z0200a
Fc1ccc(-c2cc(NNc3cccnc3-n3cccc3)[nH]n2)nc1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/z0211a/z0211a.pdb,fstein_green_site_rna_tunnel,z0211a,z0628a
CCc1cn[nH]c1-c1ccc(F)cn1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/z0215a/z0215a.pdb,fstein_green_site_rna_tunnel,z0041a,z0215a
FC1CCC2C3CCNC3CN2C1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/z0215a/z0215a.pdb,fstein_green_site_rna_tunnel,z0215a,z0480a
FC1CCC2C3CCNC3CN2C1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/z0480a/z0480a.pdb,fstein_green_site_rna_tunnel,z0215a,z0480a
Cc1ccc(OC(C)(O)O)c(NC(=O)CN)c1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/z0309a/z0309a.pdb,fstein_green_site_rna_tunnel,z0107a,z0309a
CC(=O)c1cc(C)c(O)c(NC(=C(C)O)N2CCOCC2)c1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/z1041a/z1041a.pdb,fstein_green_site_rna_tunnel,z0309a,z1041a
CC(=O)NC1CNc2c(cccc2NC(=O)NCC(C)O)C1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/z0351a/z0351a.pdb,fstein_green_site_rna_tunnel,z0351a,z0764a
CCNCCc1cc(O)cn1-c1cc(CC(Br)C(C)C)c[nH]1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/z0995a/z0995a.pdb,fstein_green_site_rna_tunnel,z0411a,z0995a
CN1CCN(C(N=O)Nc2ccc(F)c(O)c2)CC1,/opt/xchem-fragalysis-2/maxwin/BulkDock/TARGETS/Flavi_NS5_RdRp/aligned_files/z0483a/z0483a.pdb,fstein_green_site_rna_tunnel,d0378a,z0483a
