smiles,template,compound_set,hit1,hit2,hit3
CCOC(=O)c1c(Cl)oc2c(OC)cccc12,3vws-b,knitwork_green_site_pure,z0628a,3vws-b,
CCOC(=O)c1c(Br)oc2c(OC)cccc12,3vws-b,knitwork_green_site_pure,z0628a,3vws-b,
O=S(=O)(NCc1coc2ccccc12)c1c[nH]c2cc(Cl)ccc12,z0041a,knitwork_green_site_pure,z0041a,3vws-b,
O=C(NCc1coc2ccccc12)c1c[nH]c2ccc(Br)cc12,z0041a,knitwork_green_site_pure,z0041a,3vws-b,
O=C(NCCc1c[nH]c2ccccc12)c1coc2ccccc12,z0041a,knitwork_green_site_pure,z0041a,3vws-b,
OCC1c2ccccc2OCCN1CCc1ccc2occc2c1,z0581a,knitwork_green_site_pure,z0581a,3vws-a,
CCOC(=O)c1c(C(C)(C)C)oc2ccc(OCC#N)cc12,3vws-b,knitwork_green_site_pure,z0628a,3vws-b,
CCOC(=O)c1c(C)oc2ccc(OCC#N)cc12,3vws-b,knitwork_green_site_pure,z0628a,3vws-b,
O=C(COC(=O)c1coc2ccccc12)c1c[nH]c2ccccc12,z0041a,knitwork_green_site_pure,z0041a,3vws-b,
O=C(OCc1cc(-c2cc3ccccc3o2)on1)C(=O)c1c[nH]c2ccccc12,z0041a,knitwork_green_site_pure,z0041a,3vws-b,
Cc1cc(NC(=O)NCC(C)O)nn1CC(F)(F)F,z0215a,knitwork_green_site_pure,z0211a,z0215a,
Cc1[nH]ncc1-c1nnc(NC(=O)NCC(C)O)s1,z0215a,knitwork_green_site_pure,z0211a,z0215a,
Cc1cc(NC(=O)NCC(C)O)nn1C1CC1,z0215a,knitwork_green_site_pure,z0211a,z0215a,
c1ccc(N2CCOc3ccccc3C2)nc1,z0581a,knitwork_green_site_pure,d0472b,z0581a,
COCCCn1ccc(NC(=O)NCC(C)O)n1,z0215a,knitwork_green_site_pure,z0211a,z0215a,
CC(O)CNC(=O)Nc1ccn(-c2ncccn2)n1,z0211a,knitwork_green_site_pure,z0211a,z0215a,
COC(=O)c1cc(NC(=O)NCC(C)O)nn1C,z0211a,knitwork_green_site_pure,z0211a,z0215a,
c1ccc(-n2nccc2CNc2ccc3ccoc3c2)nc1,z0637a,knitwork_green_site_pure,z0637a,3vws-b,
CC(O)CNC(=O)Nc1cnn(-c2nccs2)c1,z0215a,knitwork_green_site_pure,z0211a,z0215a,
Cc1cccc2c(CCNCc3cc4ccccc4o3)c[nH]c12,z0041a,knitwork_green_site_pure,z0041a,3vws-b,
Cc1cc(NC(=O)NCC(C)O)n(-c2ccccc2)n1,z0215a,knitwork_green_site_pure,z0211a,z0215a,
CC(O)CNC(=O)Nc1ccn(C(C)C)n1,z0215a,knitwork_green_site_pure,z0211a,z0215a,
CC(O)CNC(=O)Nc1cc(C2CC2)n(C)n1,z0211a,knitwork_green_site_pure,z0211a,z0215a,
CCC(=O)Nc1ccccn1,d0472b,knitwork_green_site_pure,d0472b,z0384a,
CC(O)CNC(=O)Nc1cnn(C2CCC2)c1,z0211a,knitwork_green_site_pure,z0211a,z0215a,
CC(O)CNC(=O)Nc1cnn(C2CCC2)c1,z0215a,knitwork_green_site_pure,z0211a,z0215a,
