https://fragalysis.diamond.ac.uk/viewer/react/projects/471/339
smiles,fragmenstein_runtime,Multi-SuCOS,HIPPO Pose ID,HIPPO Compound ID,_id,scratch_subdir,fragmenstein_outcome,fragmenstein_mode,fragmenstein_error,exports,original ID,merge_set,name,compound_set,inspiration_1,inspiration_2,inspiration_3,purple,purple-text,green,green-text
CCS(=O)(=O)NC[C@H]1CC(=O)N(c2ccc(C)cc2)C1,[11.740421056747437],0.653868,48404,2829,3663,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211010/C2829-P45'],['acceptable'],['expansion'],[''],['/opt/xchem-fragalysis-2/maxwin/BulkDock/OUTPUTS/RdRp_knitwork_thumb_site_2_pure_split4000_batch000_211010.sdf', '/opt/xchem-fragalysis-2/maxwin/BulkDock/OUTPUTS/RdRp_knitwork_thumb_site_2_pure_fragalysis.sdf'],RHYGREJDHHQRDC-GFCCVEGCSA-N,RdRp_knitwork_thumb_site_2_pure_fragalysis.sdf,v73a,Retro_OK_batch1-2024-12-10-A,d0174a,d0566a,,true,purple,,
CCS(=O)(=O)NC[C@H]1CC(=O)N(c2ccc(Cl)cc2)C1,[10.632996082305908],0.652349,48487,3075,3664,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211010/C3075-P45'],['acceptable'],['expansion'],[''],['/opt/xchem-fragalysis-2/maxwin/BulkDock/OUTPUTS/RdRp_knitwork_thumb_site_2_pure_split4000_batch000_211010.sdf', '/opt/xchem-fragalysis-2/maxwin/BulkDock/OUTPUTS/RdRp_knitwork_thumb_site_2_pure_fragalysis.sdf'],FOZSYKGVMKDKBV-SNVBAGLBSA-N,RdRp_knitwork_thumb_site_2_pure_fragalysis.sdf,v74a,Retro_OK_batch1-2024-12-10-A,d0174a,d0566a,,true,purple,,
CCS(=O)(=O)NC[C@H]1CN(c2ncc(F)cn2)Cc2cncn21,[4.541534185409546],0.614491,48890,3914,3665,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211010/C3914-P48'],['acceptable'],['expansion'],[''],['/opt/xchem-fragalysis-2/maxwin/BulkDock/OUTPUTS/RdRp_knitwork_thumb_site_2_pure_split4000_batch000_211010.sdf', '/opt/xchem-fragalysis-2/maxwin/BulkDock/OUTPUTS/RdRp_knitwork_thumb_site_2_pure_fragalysis.sdf'],WOVNUBZQLSDEHQ-LBPRGKRZSA-N,RdRp_knitwork_thumb_site_2_pure_fragalysis.sdf,v75a,Retro_OK_batch1-2024-12-10-A,d0174a,d0587a,,true,purple,,
CC[C@@H]1OCC[C@H]1CNCc1cc[nH]n1,[3.7079434394836426],0.605302,36923,18275,3698,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211034/C18275-P12'],['acceptable'],['expansion'],[''],['/opt/xchem-fragalysis-2/maxwin/BulkDock/OUTPUTS/RdRp_knitwork_primer_grip_n_pocket_impure_split4000_batch002_211034.sdf'],ZTGAMCFPYFVHLJ-ONGXEEELSA-N,RdRp_knitwork_primer_grip_n_pocket_impure_fragalysis.sdf,v108a,Retro_OK_batch1-2024-12-10-A,d0160a,d0254a,,true,purple,,
O=C(NO[C@H]1CCOC1)N1CCN(c2cccnc2)C(=O)C1,[11.819782257080078],0.415358,39368,16150,3705,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211034/C16150-P12'],['acceptable'],['expansion'],[''],['/opt/xchem-fragalysis-2/maxwin/BulkDock/OUTPUTS/RdRp_knitwork_primer_grip_n_pocket_impure_split4000_batch002_211034.sdf'],IRPJMEHEHAKAJE-LBPRGKRZSA-N,RdRp_knitwork_primer_grip_n_pocket_impure_fragalysis.sdf,v115a,Retro_OK_batch1-2024-12-10-A,d0160a,d0254a,,true,purple,,
CN(CCNC(=O)C[C@H]1CCCCO1)C(=O)c1cccnc1,[7.294503211975098],0.541853,45423,15070,3737,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211034/C15070-P26'],['acceptable'],['expansion'],[''],['/opt/xchem-fragalysis-2/maxwin/BulkDock/OUTPUTS/RdRp_knitwork_primer_grip_n_pocket_impure_split4000_batch002_211034.sdf'],RGSIWFCRLMCKRU-CQSZACIVSA-N,RdRp_knitwork_primer_grip_n_pocket_impure_fragalysis.sdf,v146b,Retro_OK_batch1-2024-12-10-A,d0191a,d0254a,,true,purple,,
O=C(C=Cc1cscn1)OCCCC[C@H]1CCCO1,[5.221753358840942],0.566935,46189,9420,3738,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211036/C9420-P19'],['acceptable'],['expansion'],[''],['/opt/xchem-fragalysis-2/maxwin/BulkDock/OUTPUTS/RdRp_knitwork_primer_grip_n_pocket_impure_split4000_batch004_211036.sdf'],MKHBBPCZLAEZGC-ZDUSSCGKSA-N,RdRp_knitwork_primer_grip_n_pocket_impure_fragalysis.sdf,v148a,Retro_OK_batch1-2024-12-10-A,d0191a,d0254a,,,,true,green
C[C@@H](O)c1ncc(CN[C@@H](CCc2ccccc2)CC(=O)O)s1,[5.8087921142578125],0.36885,47725,14066,3749,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211037/C14066-P51'],['acceptable'],['expansion'],[''],['/opt/xchem-fragalysis-2/maxwin/BulkDock/OUTPUTS/RdRp_knitwork_primer_grip_n_pocket_impure_split4000_batch005_211037.sdf'],KXKSLXFPGVFZSD-OCCSQVGLSA-N,RdRp_knitwork_primer_grip_n_pocket_impure_fragalysis.sdf,v158b,Retro_OK_batch1-2024-12-10-A,d0472a,d0615b,,true,purple,,
CCc1ncc(CN[C@H](CCc2ccccc2)CC(=O)O)s1,[9.463677644729614],0.557354,47753,14067,3751,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211037/C14067-P51'],['acceptable'],['expansion'],[''],['/opt/xchem-fragalysis-2/maxwin/BulkDock/OUTPUTS/RdRp_knitwork_primer_grip_n_pocket_impure_split4000_batch005_211037.sdf'],DBKPJODZOLWIJA-CQSZACIVSA-N,RdRp_knitwork_primer_grip_n_pocket_impure_fragalysis.sdf,v161a,Retro_OK_batch1-2024-12-10-A,d0264a,d0472a,d0615b,true,purple,,
c1nc(-c2n[nH]c3c2CCCC3)c[nH]1,[2.1672892570495605],0.580421,47755,23454,3752,['/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/211035/C23454-P12'],['acceptable'],['expansion'],[''],['/opt/xchem-fragalysis-2/maxwin/BulkDock/OUTPUTS/RdRp_knitwork_primer_grip_n_pocket_impure_split4000_batch003_211035.sdf'],ORGCRSJVVRKQHS-UHFFFAOYSA-N,RdRp_knitwork_primer_grip_n_pocket_impure_fragalysis.sdf,v162a,Retro_OK_batch1-2024-12-10-A,d0160a,z0103a,,true,purple,,
