https://fragalysis.diamond.ac.uk/viewer/react/projects/282/274,,,,,,,,,,,,,,,,,,,,
smiles,fragmenstein_runtime,Multi-SuCOS,HIPPO Pose ID,HIPPO Compound ID,SLURM_JOB_ID,_id,SLURM_JOB_NAME,csv_name,scratch_subdir,fragmenstein_outcome,fragmenstein_mode,fragmenstein_error,original ID,merge_set,name,compound_set,inspiration_1,inspiration_2,green,green-text
Nc1nc(-c2ccc(Nc3ccccc3)cc2)cs1,3.021577,0.922697,77593,68642,217914,4019,BulkDock.place:Flavi_NS5_RdRp:thumb_site_2_fstein_bulkdock_input_split1000_batch000,thumb_site_2_fstein_bulkdock_input_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/217914/C68642-P23,acceptable,expansion,None,GJMVTWFDMFYHEH-UHFFFAOYSA-N,thumb_site_2_fstein_bulkdock_input,v439a,Retro_OK_batch1-2024-12-10-A,d0162a,d0249a,TRUE,green
Nc1nc(-c2ccc(N(N)c3ccccc3)cc2)cs1,3.540234,0.884515,77672,68660,217914,4033,BulkDock.place:Flavi_NS5_RdRp:thumb_site_2_fstein_bulkdock_input_split1000_batch000,thumb_site_2_fstein_bulkdock_input_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/217914/C68660-P15,acceptable,expansion,None,VPYKNYUMCPMOGH-UHFFFAOYSA-N,thumb_site_2_fstein_bulkdock_input,v453a,Retro_OK_batch1-2024-12-10-A,d0162a,d1149a,TRUE,green
COc1c(CC(=O)O)cc(CC(=O)O)cc1-c1ccc(C#CCO)s1,4.007996,0.900087,82085,67659,217912,4177,BulkDock.place:Flavi_NS5_RdRp:primer_grip_n_pocket_fstein_bulkdock_input_split1000_batch000,primer_grip_n_pocket_fstein_bulkdock_input_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/217912/C67659-P221,acceptable,expansion,None,RIGFXPYYCKCHGJ-UHFFFAOYSA-N,primer_grip_n_pocket_fstein_bulkdock_input,v596b,Retro_OK_batch1-2024-12-10-A,5hmy-a,5i3q-a,TRUE,green
COc1c(CC(=O)O)cc(CC(=O)O)cc1-c1ccc(C#CCO)s1,5.47791,0.870363,82087,67659,217912,4178,BulkDock.place:Flavi_NS5_RdRp:primer_grip_n_pocket_fstein_bulkdock_input_split1000_batch000,primer_grip_n_pocket_fstein_bulkdock_input_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/217912/C67659-P225,acceptable,expansion,None,RIGFXPYYCKCHGJ-UHFFFAOYSA-N,primer_grip_n_pocket_fstein_bulkdock_input,v596c,Retro_OK_batch1-2024-12-10-A,5hmy-a,5k5m-a,TRUE,green
