,compound,smiles,quote_id,quote_entry,quote_price_USD,quote_amount_mg,quote_catalogue,JA curated YES,DF curated NO,AC curated INTERESTING,DF curated INTERESTING,Enamine_Order_1968912,AC curated YES,DF curated YES,JA curated MAYBE,JA curated INTERESTING,JA curated NO,LCD curated YES,LCD curated INTERESTING,#curated YES,#curated NO,#curated INTERESTING
261,33434,C[C@H](O)CNC(=O)NC1=CC=CC=2C=CC=NC12,892.0,Z1563511780,132.0,5.0,sRDB,True,,,,True,,,,,,,,2,1,1
262,33434,C[C@H](O)CNC(=O)NC1=CC=CC=2C=CC=NC12,892.0,Z1563511780,132.0,5.0,sRDB,True,,,,True,,,,,,,,2,1,1
263,33585,COC=1C=CC=2C=CC=C(NC(=O)NCC(C)O)C2N1,851.0,Z1565463331,187.0,5.0,mRDB,,,,,,,,,True,,,,0,0,1
264,33585,COC=1C=CC=2C=CC=C(NC(=O)NCC(C)O)C2N1,851.0,Z1565463331,187.0,5.0,mRDB,,,,,,,,,True,,,,0,0,1
265,63779,CCC(C(=O)OCC=1C=CC2=CC=CC=C2N1)N3CCCC3=O,768.0,Z1305696087,125.0,5.0,sRDB,,,,,,,,,True,,,,0,0,1
266,30886,O=C(NCC(O)CN1C=CC=N1)NC=2C=CC=C(Br)C2,835.0,Z8314582321,125.0,5.0,sRDB,,,,,,,,,True,,,,0,0,1
267,33061,CSC=1C=CN=C(C1)NC(=O)NCC(O)CN2C=CC=N2,811.0,Z3607059062,125.0,5.0,sRDB,,,,,,,,,True,,,,0,0,1
268,34586,O=C(NCC(O)CN1C=CC=N1)NC2CCCC3=CC=CC=C32,803.0,Z3184028013,125.0,5.0,sRDB,,,,,,,,,True,,,,0,0,1
269,42494,CCNC(Cc1ccncc1)c1ccccn1,,,,,,,,,,,,,,True,,,,0,0,1
270,26252,CCCC(C(=O)Nc1ccncc1)c1ccccn1,,,,,,,,,,,,,,True,,,,0,0,1
271,7817,CCOC(=O)C1(N2CCCc3ccccc32)CCC1,,,,,,,,,,,,,,,True,True,True,2,2,2
272,28106,O=C(OCCN1CCCC=2C=CC=CC21)C=3N=CSC3Br,893.0,Z2101833350,132.0,5.0,sRDB,,,,,,,,,,True,True,True,2,2,2
273,17030,CC(Nc1cccc(C2CC2)n1)c1cncs1,,,,,,,,,,,,,,True,,,,0,0,1
274,48666,CN(CCC1NC(=O)NC1=O)C2(CC2)C=3C=CC=NC3,830.0,Z4274278783,125.0,5.0,sRDB,,,,,,,,,True,,,,0,0,1
275,28593,C1=CC=2C(=CC=CC2N1)C=3C=CN=CC3,756.0,Z1255358308,125.0,5.0,sRDB,,,,,,,,,True,,,,0,0,1
276,40809,COC=1C=CC=2C(=COC2C1)CC(=O)OCC(=O)C3=CNC=4C=CC=CC34,738.0,Z25278747,38.0,5.0,Legacy,,,,,,,,,True,,,,0,0,1
277,38982,O=C(CN1C=CC=2C=CC(Cl)=CC21)NCC3=CC=4C=CC=CC4O3,765.0,Z803835968,125.0,5.0,sRDB,,,,,,,,,True,,,,0,0,1
278,36458,CC=1C=NC=CC1NC(=O)CC2=COC=3C=CC=CC23,965.0,Z2070221632,144.0,5.0,sRDB,True,,,,True,,,,,,,,2,1,1
279,44380,CC(CN1CCCC1=O)NC(=O)C=Cc1ccc2c(c1)CCCN2C,,,,,,,,,,,,,,,True,True,,2,2,1
280,57699,Cc1c[nH]c(N2CCCc3ccccc32)n1,,,,,,,,,,,,,,True,,,,0,0,1
281,65984,CC=1C=C2C=CC=CC2=C(N1)N3CCCC3C=4C=CC=CN4,770.0,Z1618161747,125.0,5.0,sRDB,,,,,,,,,True,,,,0,0,1
282,27764,C1=CC=2C=CC(=CC2N1)C3=COC=N3,942.0,Z9471938635,132.0,5.0,sRDB,,,,,,,,,,,,True,0,0,1
283,29520,c1cc2ccc(-c3cnoc3)cc2[nH]1,,,,,,,,,,,,,,,,,True,0,0,1
284,43135,CC(NC(=O)Nc1cccc2[nH]ccc12)C(O)C(F)F,,,,,,,,,,,,,,,,True,,2,1,1
285,43304,CSCC[C@H](CO)NC(=O)C(=O)NC=1C=CC=C2NC=CC12,925.0,Z4915776383,132.0,5.0,sRDB,,,,,,,,,,,,True,0,0,1
286,43832,C1=NC(=CS1)C=2C=CC=3NCCC3C2,880.0,Z1269240984,132.0,5.0,sRDB,,,,,,,,,,,,True,0,0,1
287,44995,O=C(NCCC(O)C(F)(F)F)Nc1cccc2cc[nH]c12,,,,,,,,,,,,,,,,,True,0,0,1
288,44522,O=C(c1ccc2c(c1)CCN2)c1cncs1,,,,,,,,,,,,,,,,True,,2,1,1
289,27417,CC(C)C(C)(CO)NC(=O)Nc1cccc2[nH]ccc12,,,,,,,,,,,,,,,,True,,2,1,1
290,29647,C1=CC=2C=CC=C(C3=CN=CO3)C2N1,933.0,Z8992741758,132.0,5.0,sRDB,,,,,,,,,,,,True,0,0,1
291,34583,O=C(CCc1csc2ccccc12)NC1CCNC2(CC2)C1,,,,,,,,,,,,,,,,True,,2,1,1
292,12690,CC(C)(C(=O)O)N1C=C(C=N1)NC(=O)CCC=2C=CC=CN2,907.0,Z1991859620,132.0,5.0,sRDB,,,,,,,,,,,True,,2,1,1
293,55410,O=S(=O)(NCC1=NOC=2C=CC=CC12)C3=COC=4C=CC=CC34,943.0,Z9471938640,132.0,5.0,sRDB,,,,,,,,,,,,True,0,0,1
294,55535,O=C(CC1=CC=2C=CC=CC2O1)NCC3=NSC=4C=CC=CC34,930.0,Z7679539119,132.0,5.0,sRDB,,,,,,,,,,,True,,2,1,1
295,55870,CC=1OC=2C=CC=CC2C1CCNC3=NC=CN4C=CC=C34,944.0,Z9471938641,132.0,5.0,sRDB,,,,,,,,,,,,True,0,0,1
296,56786,O=C(CC1=NOC=2C=CC=CC12)NCCC3=CC=4C=CC=CC4O3,873.0,Z1246834186,48.0,5.0,HTS,,,,,,,,,,,True,,2,1,1
297,61386,C1=CC(CN[C@H]2CCCC=3C=CC=NC32)=C(N=C1)N4CCCC4,926.0,Z5058703383,132.0,5.0,sRDB,,,,,,,,,,,True,,2,1,1
298,33434,C[C@H](O)CNC(=O)NC1=CC=CC=2C=CC=NC12,892.0,Z1563511780,132.0,5.0,sRDB,,,,,,,,,,,True,,2,1,1
299,43742,CCOC(=O)C1c2ccccc2CCC12CC2,,,,,,,,,,,,,,,,True,,2,1,1
300,45330,CCOC(=O)C1CCCc2ccccc21,,,,,,,,,,,,,,,,True,,2,1,1
301,47311,CCOC(=O)C1c2occc2CCC12CC2,,,,,,,,,,,,,,,,True,,2,1,1
302,47542,CCOC(=O)C12CC1CCc1ccccc12,,,,,,,,,,,,,,,,True,,2,1,1
303,49559,CCOC(=O)c1cccc2c1NCCS2,,,,,,,,,,,,,,,,True,,2,1,1
304,49677,CCOC(=O)c1cccc2c1NCCCS2,,,,,,,,,,,,,,,,True,,2,1,1
305,28628,O=C(NCCC=1C=CC=C2C=CC=CC12)C=3C=CC=C4C=CNC34,896.0,Z1273460031,132.0,5.0,sRDB,,,,,,,,,,,True,,2,1,1
306,40580,CC(CN1CC(=O)N(Cc2ccns2)C1=O)OC(F)F,,,,,,,,,,,,,,,,,True,0,0,1
307,61134,CS(=O)(=O)N1CCCC2=CC=CC=C21,871.0,Z45614715,48.0,5.0,HTS,,,,,,,,,,,True,,2,1,1
308,61200,CC(CCl)S(=O)(=O)N1CCCc2ccccc21,,,,,,,,,,,,,,,,True,,2,1,1
309,30332,COc1cccc2cc(C(=O)NCC(O)c3cccc4ccccc34)oc12,,,,,,,,,,,,,,,,,True,0,0,1
